# 20240626
# M2
# VBAT / 4 disabled
# 1 Hz ADC sampling rate
# 1 nitrate sensor, 1 ammonium sensor, 1 capacitive sensor, 1 thermistor
# Hot water was added to the ammonium nitrate solution, and liquid nitrogen was added to the solution at the end.

Nitrate sensor,Ammonium sensor,Capacitor,Thermistor
151,175,2724/16384,6083/16384
150,182,2677/16384,6139/16384
151,175,2698/16384,6139/16384
154,171,2706/16384,6150/16384
151,175,2691/16384,6150/16384
151,167,2699/16384,6154/16384
151,175,2701/16384,6118/16384
154,167,2704/16384,6135/16384
143,175,2732/16384,6156/16384
143,180,2693/16384,6162/16384
143,175,2690/16384,6154/16384
151,175,2706/16384,6152/16384
143,175,2690/16384,6147/16384
154,174,2688/16384,6154/16384
151,175,2692/16384,6157/16384
148,175,2717/16384,6144/16384
147,166,2710/16384,6195/16384
150,172,2771/16384,6155/16384
149,168,2680/16384,6132/16384
152,173,2690/16384,6131/16384
151,172,2714/16384,6168/16384
135,172,2678/16384,6190/16384
150,172,2700/16384,6177/16384
146,167,2709/16384,6191/16384
151,170,2709/16384,6192/16384
143,168,2694/16384,6175/16384
151,167,2688/16384,6210/16384
146,174,2698/16384,6183/16384
147,167,2718/16384,6149/16384
143,171,2751/16384,6238/16384
143,175,2683/16384,6148/16384
167,135,2706/16384,4772/16384
151,157,2682/16384,4689/16384
151,158,2676/16384,4571/16384
151,159,2702/16384,4522/16384
151,159,2703/16384,4457/16384
151,151,2693/16384,4421/16384
152,155,2655/16384,4407/16384
147,151,2708/16384,4347/16384
144,155,2681/16384,4656/16384
148,159,2690/16384,4312/16384
151,151,2673/16384,4302/16384
150,159,2674/16384,4278/16384
151,159,2682/16384,4238/16384
152,155,2705/16384,4309/16384
148,159,2690/16384,4327/16384
149,152,2700/16384,4319/16384
148,159,2700/16384,4303/16384
143,159,2719/16384,4287/16384
151,159,2583/16384,4326/16384
151,151,2701/16384,4339/16384
151,159,2689/16384,4337/16384
143,159,2734/16384,4341/16384
139,159,2693/16384,4321/16384
143,159,2726/16384,4358/16384
147,167,2643/16384,4345/16384
143,157,2699/16384,4244/16384
143,167,2731/16384,5306/16384
143,167,2823/16384,5831/16384
158,174,2709/16384,5879/16384
151,168,2674/16384,5945/16384
158,166,2667/16384,6026/16384
146,166,2710/16384,6064/16384
151,167,2667/16384,6126/16384
156,167,2687/16384,6076/16384
147,167,2713/16384,6099/16384
151,167,2718/16384,6114/16384
143,166,2722/16384,6058/16384
148,167,2705/16384,6131/16384
151,175,2727/16384,6070/16384
143,160,2710/16384,6178/16384
150,163,2684/16384,6176/16384
151,167,2700/16384,6206/16384
159,167,2752/16384,6235/16384
