# 20240716
# M2
# VBAT / 4 disabled
# 1 ammonium sensor, 1 ammonium sensor, 1 disconnected capacitor, 1 thermistor with C = 91 nF
# Measured at the Delta field site on Bouldin Island

Ammonium sensor 1,Ammonium sensor 2,Capacitor,Thermistor
143,127,108/16384,5516/16384
151,127,136/16384,5241/16384
151,127,137/16384,5545/16384
143,127,74/16384,5518/16384
143,127,74/16384,5478/16384
151,127,0/16384,4037/16384
151,129,0/16384,5083/16384
143,127,78/16384,5394/16384
143,124,78/16384,5519/16384
150,127,79/16384,5632/16384
151,127,178/16384,5693/16384
151,127,0/16384,5798/16384
151,127,0/16384,5772/16384
147,127,0/16384,5641/16384
135,127,196/16384,5641/16384
151,127,148/16384,5613/16384
143,127,118/16384,5616/16384
151,127,148/16384,5660/16384
146,127,0/16384,5664/16384
143,123,0/16384,5707/16384
146,127,148/16384,5665/16384
143,127,106/16384,5640/16384
145,127,0/16384,5757/16384
144,127,53/16384,5707/16384
143,127,78/16384,5628/16384
143,127,70/16384,5704/16384
143,127,0/16384,5619/16384
143,127,185/16384,5506/16384
147,127,60/16384,5522/16384
143,127,78/16384,5483/16384
143,127,108/16384,5467/16384
151,127,78/16384,5475/16384
151,127,78/16384,5464/16384
148,127,117/16384,5492/16384
151,127,177/16384,5530/16384
143,127,177/16384,5466/16384
149,125,128/16384,5536/16384
143,119,153/16384,5470/16384
143,127,51/16384,5509/16384
143,127,74/16384,5643/16384
145,127,0/16384,5768/16384
143,127,152/16384,5693/16384
144,127,69/16384,5892/16384
147,127,116/16384,5801/16384
151,127,60/16384,5737/16384
146,127,0/16384,5759/16384
135,127,116/16384,5716/16384
143,127,88/16384,5808/16384
143,125,102/16384,5725/16384
151,127,64/16384,5748/16384
143,127,0/16384,5638/16384
147,127,78/16384,5735/16384
